indicator_name,Ind_flg
"Birth rate, crude (per 1,000 people)",
"Death rate, crude (per 1,000 people)",1
Domestic private health expenditure (% of current health expenditure),1
Domestic private health expenditure per capita (current US$),1
External health expenditure channeled through government (% of external health expenditure),1
"Human capital index (HCI), female (scale 0-1)",
"Human capital index (HCI), female, upper bound (scale 0-1)",
"Human capital index (HCI), male (scale 0-1)",
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",
"Life expectancy at birth, female (years)",1
"Life expectancy at birth, male (years)",1
"Life expectancy at birth, total (years)",1
Lifetime risk of maternal death (%),
"Literacy rate, adult male (% of males ages 15 and above)",
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",1
"Mortality rate, infant (per 1,000 live births)",
"Mortality rate, infant, female (per 1,000 live births)",
"Mortality rate, infant, male (per 1,000 live births)",
"Mortality rate, under-5 (per 1,000)",
"Nurses and midwives (per 1,000 people)",
"People practicing open defecation, urban (% of urban population)",
"People using at least basic drinking water services, rural (% of rural population)",
"People using at least basic sanitation services, rural (% of rural population)",1
"People with basic handwashing facilities including soap and water, rural (% of rural population)",1
"Population ages 00-04, female (% of female population)",
"Population ages 00-04, male (% of male population)",
Population ages 0-14 (% of total population),
"Population ages 0-14, female (% of female population)",
"Population ages 0-14, male (% of male population)",
"Population ages 15-19, female (% of female population)",
"Population ages 15-19, male (% of male population)",
Population ages 15-64 (% of total population),
"Population ages 20-24, female (% of female population)",
"Population ages 20-24, male (% of male population)",
"Population ages 25-29, male (% of male population)",
"Population ages 30-34, female (% of female population)",
"Population ages 30-34, male (% of male population)",
"Population ages 35-39, male (% of male population)",
"Population ages 40-44, female (% of female population)",
"Population ages 40-44, male (% of male population)",
"Population ages 45-49, female (% of female population)",
"Population ages 50-54, female (% of female population)",
"Population ages 50-54, male (% of male population)",
"Population ages 55-59, female (% of female population)",
"Population ages 55-59, male (% of male population)",
"Population ages 60-64, female (% of female population)",
"Population ages 60-64, male (% of male population)",
"Population ages 65 and above, male (% of male population)",
"Population ages 65-69, female (% of female population)",
"Population ages 65-69, male (% of male population)",
"Population ages 70-74, female (% of female population)",
"Population ages 70-74, male (% of male population)",
"Population ages 75-79, female (% of female population)",
"Population ages 80 and older, female (% of female population)",
Population growth (annual %),
"Population, female (% of total population)",1
"Population, male (% of total population)",1
Prevalence of anemia among women of reproductive age (% of women ages 15-49),
"Prevalence of HIV, female (% ages 15-24)",
"Prevalence of HIV, male (% ages 15-24)",
"Prevalence of overweight, female (% of female adults)",
"Prevalence of stunting, height for age (% of children under 5)",
Prevalence of undernourishment (% of population),
"Prevalence of wasting, weight for height (% of children under 5)",
"Prevalence of wasting, weight for height, male (% of children under 5)",
"Probability of dying among adolescents ages 10-14 years (per 1,000)",
"Probability of dying among adolescents ages 15-19 years (per 1,000)",
Rural population growth (annual %),
"School enrollment, primary (% gross)",
"School enrollment, primary, female (% gross)",
"School enrollment, primary, female (% net)",
"School enrollment, primary, male (% net)",
"School enrollment, secondary (% gross)",
"Stillbirth rate (per 1,000 total births)",
"Survival to age 65, female (% of cohort)",
"Unemployment, female (% of female labor force)",
Urban population growth (annual %),
Women's share of population ages 15+ living with HIV (%),
"Adolescent fertility rate (births per 1,000 women ages 15-19)",
"Age at first marriage, female",
Age dependency ratio (% of working-age population),
"Age dependency ratio, old",
"Age dependency ratio, young",
"Labor force, female (% of total labor force)",
"Mortality rate, adult, female (per 1,000 female adults)",1
"Mortality rate, adult, male (per 1,000 male adults)",1
"Population ages 05-09, female (% of female population)",
"Population ages 05-09, male (% of male population)",
"Population ages 10-14, female (% of female population)",
"Population ages 10-14, male (% of male population)",
"Population ages 15-64, female (% of female population)",
"Population ages 15-64, male (% of male population)",
"Population ages 35-39, female (% of female population)",
"Population ages 45-49, male (% of male population)",
"Population ages 65 and above, female (% of female population)",
Sex ratio at birth (male births per female births),
"Unemployment, male (% of male labor force)",
"Unemployment, total (% of total labor force)",
Births attended by skilled health staff (% of total),
Capital health expenditure (% of GDP),1
"Cause of death, by injury (% of total)",
Current health expenditure (% of GDP),1
Domestic general government health expenditure (% of current health expenditure),1
Domestic general government health expenditure (% of GDP),1
"Hospital beds (per 1,000 people)",1
"Human capital index (HCI), female, lower bound (scale 0-1)",
"Human capital index (HCI), upper bound (scale 0-1)",1
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",
"Literacy rate, youth male (% of males ages 15-24)",
Low-birthweight babies (% of births),
"Mortality caused by road traffic injury (per 100,000 people)",
"Mortality rate, under-5, female (per 1,000)",
"Mortality rate, under-5, male (per 1,000)",
Out-of-pocket expenditure (% of current health expenditure),1
"Out-of-pocket expenditure per capita, PPP (current international $)",1
"People practicing open defecation, rural (% of rural population)",
"Physicians (per 1,000 people)",
"Population ages 25-29, female (% of female population)",
Population ages 65 and above (% of total population),
"Population ages 75-79, male (% of male population)",
"Population ages 80 and above, male (% of male population)",
Prevalence of anemia among non-pregnant women (% of women ages 15-49),
"Prevalence of HIV, total (% of population ages 15-49)",
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",
"Prevalence of underweight, weight for age (% of children under 5)",
"Probability of dying among children ages 5-9 years (per 1,000)",
"Public spending on education, total (% of GDP)",
"School enrollment, secondary (% net)",
"School enrollment, secondary, male (% gross)",
"School enrollment, secondary, male (% net)",
"School enrollment, tertiary (% gross)",
"School enrollment, tertiary, female (% gross)",
"Suicide mortality rate (per 100,000 population)",
"Survival to age 65, male (% of cohort)",1
"Tuberculosis death rate (per 100,000 people)",1
"Contraceptive prevalence, modern methods (% of women ages 15-49)",
Current health expenditure per capita (current US$),1
"Domestic general government health expenditure per capita, PPP (current international $)",1
"Domestic private health expenditure per capita, PPP  (current international $)",1
Exclusive breastfeeding (% of children under 6 months),
"Incidence of malaria (per 1,000 population at risk)",1
"Literacy rate, youth total (% of people ages 15-24)",
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",1
"Mortality rate, neonatal (per 1,000 live births)",
"People using at least basic drinking water services, urban (% of urban population)",
People using at least basic sanitation services (% of population),1
"People using safely managed drinking water services, urban (% of urban population)",
Pregnant women receiving prenatal care (%),
Prevalence of anemia among children (% of children ages 6-59 months),
Prevalence of current tobacco use (% of adults),
"Prevalence of severe wasting, weight for height, female (% of children under 5)",
"Probability of dying among youth ages 20-24 years (per 1,000)",1
Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),
"Suicide mortality rate, female (per 100,000 female population)",
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",
Domestic general government health expenditure (% of general government expenditure),1
External health expenditure per capita (current US$),1
"Fertility rate, total (births per woman)",
"Incidence of HIV, all (per 1,000 uninfected population)",
Out-of-pocket expenditure per capita (current US$),1
"People using safely managed drinking water services, rural (% of rural population)",
"Prevalence of current tobacco use, females (% of female adults)",
"Prevalence of overweight, male (% of male adults)",
"Primary completion rate, female (% of relevant age group)",
"Primary completion rate, total (% of relevant age group)",
Ratio of young literate females to males (% ages 15-24),
Risk of impoverishing expenditure for surgical care (% of people at risk),
"School enrollment, primary, male (% gross)",
"School enrollment, secondary, female (% gross)",
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),
Domestic general government health expenditure per capita (current US$),1
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",
Prevalence of anemia among pregnant women (%),
"Prevalence of overweight (modeled estimate, % of children under 5)",
"Prevalence of stunting, height for age, male (% of children under 5)",
Risk of catastrophic expenditure for surgical care (% of people at risk),
"Current health expenditure per capita, PPP (current international $)",1
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),
Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",
Prevalence of overweight (% of adults),
"Prevalence of severe wasting, weight for height (% of children under 5)",
"Primary completion rate, male (% of relevant age group)",
"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, male (2 prevent ways and reject 3 misconceptions)",
Consumption of iodized salt (% of households),
External health expenditure (% of current health expenditure),1
"Mortality caused by road traffic injury, male (per 100,000 male population)",
People practicing open defecation (% of population),
People using at least basic drinking water services (% of population),
Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14,
"Specialist surgical workforce (per 100,000 population)",
"Suicide mortality rate, male (per 100,000 male population)",
"Cause of death, by non-communicable diseases (% of total)",
"External health expenditure per capita, PPP (current international $)",
"People using at least basic sanitation services, urban  (% of urban population)",
People using safely managed drinking water services (% of population),
"School enrollment, secondary, female (% net)",
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1
"Completeness of birth registration, urban (%)",
"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions)",
"Condom use at last high-risk sex, adult male (% ages 15-49)",
"Human capital index (HCI), lower bound (scale 0-1)",
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",1
"Prevalence of severe wasting, weight for height, male (% of children under 5)",
"School enrollment, primary (% net)",
Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),
"Mortality caused by road traffic injury, female (per 100,000 female population)",
"People using safely managed sanitation services, urban  (% of urban population)",
Poverty headcount ratio at national poverty line (% of population),
People using safely managed sanitation services (% of population),
"People using safely managed sanitation services, rural (% of rural population)",
"Completeness of birth registration, male (%)",
Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),
Women who were first married by age 18 (% of women ages 20-24),
"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, female (2 prevent ways and reject 3 misconceptions)",
People with basic handwashing facilities including soap and water (% of population),
"Prevalence of overweight, male (% of children under 5)",
"Contraceptive prevalence, any methods (% of women ages 15-49)",
Human capital index (HCI) (scale 0-1),
"Literacy rate, adult female (% of females ages 15 and above)",
"Prevalence of wasting, weight for height, female (% of children under 5)",
"Age at first marriage, male",
"Literacy rate, adult total (% of people ages 15 and above)",
Pregnant women receiving prenatal care of at least four visits (% of pregnant women),
"Prevalence of stunting, height for age, female (% of children under 5)",
Unmet need for contraception (% of married women ages 15-49),
Wanted fertility rate (births per woman),
"Completeness of birth registration, rural (%)",
"Prevalence of underweight, weight for age, male (% of children under 5)",
Female headed households (% of households with a female head),
"Prevalence of underweight, weight for age, female (% of children under 5)",
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),
"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)",
"People with basic handwashing facilities including soap and water, urban (% of urban population)",
Prevalence of syphilis (% of women attending antenatal care),
"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",
Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),
Prevalence of overweight (% of children under 5),
Use of insecticide-treated bed nets (% of under-5 population),
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),
Completeness of birth registration (%),
"Completeness of birth registration, female (%)",
"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, female (2 prevent ways and reject 3 misconceptions)",
Diarrhea treatment (% of children under 5 who received ORS packet),
"Prevalence of current tobacco use, males (% of male adults)",
"Incidence of tuberculosis (per 100,000 people)",
"Condom use, population ages 15-24, female (% of females ages 15-24)",
ARI treatment (% of children under 5 taken to a health provider),
"Tuberculosis case detection rate (%, all forms)",
Diabetes prevalence (% of population ages 20 to 79),
"Human capital index (HCI), male, upper bound (scale 0-1)",
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene, female (per 100,000 female population)",1
Completeness of death registration with cause-of-death information (%),
Antiretroviral therapy coverage (% of people living with HIV),
"Immunization, Hib3 (% of children ages 12-23 months)",
"Immunization, measles (% of children ages 12-23 months)",
"Immunization, measles second dose (% of children by the nationally recommended age)",
"Immunization, Pol3 (% of one-year-old children)",
Newborns protected against tetanus (%),
"GNI per capita, Atlas method (current US$)",
"Immunization, DPT (% of children ages 12-23 months)",
"Immunization, HepB3 (% of one-year-old children)",
"Immunization, BCG (% of one-year-old children)",
Vitamin A supplementation coverage rate (% of children ages 6-59 months),
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene, male (per 100,000 male population)",
UHC service coverage index,
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",
Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",1
"Community health workers (per 1,000 people)",
Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),
"Prevalence of overweight, female (% of children under 5)",
Women who were first married by age 15 (% of women ages 20-24),
"Human capital index (HCI), male, lower bound (scale 0-1)",
Postnatal care coverage (% mothers),
Demand for family planning satisfied by any methods (% of married women with demand for family planning),
"Condom use at last high-risk sex, adult female (% ages 15-49)",
"Condom use, population ages 15-24, male (% of males ages 15-24)",
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",
Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),
"Number of surgical procedures (per 100,000 population)",
"Age population, age 17, female, interpolated",
"Age population, age 17, male, interpolated",
"Age population, age 18, female, interpolated",
"Age population, age 18, male, interpolated",
"Age population, age 19, female, interpolated",
"Age population, age 19, male, interpolated",
"Age population, age 20, male, interpolated",
"Age population, age 21, male, interpolated",
"Age population, age 22, female, interpolated",
"Age population, age 22, male, interpolated",
"Age population, age 23, female, interpolated",
"Age population, age 24, female, interpolated",
"Age population, age 25, male, interpolated",
"Maternal mortality ratio (national estimate, per 100,000 live births)",
Number of deaths ages 10-14 years,
Number of deaths ages 5-9 years,
"Number of infant deaths, female",
"Number of infant deaths, male",
Number of neonatal deaths,
"Number of under-five deaths, female",
"Population ages 00-04, female",
"Population ages 00-04, male",
"Population ages 00-14, total",
"Population ages 0-14, female",
"Population ages 0-14, male",
"Population ages 05-09, female",
"Population ages 05-09, male",
"Population ages 10-14, female",
"Population ages 10-14, male",
"Population ages 15-19, female",
"Population ages 15-19, male",
"Population ages 15-64, female",
"Population ages 15-64, total",
"Population ages 20-24, female",
"Population ages 25-29, female",
"Population ages 25-29, male",
"Population ages 30-34, female",
"Population ages 30-34, male",
"Population ages 35-39, female",
"Population ages 35-39, male",
"Population ages 40-44, female",
"Population ages 40-44, male",
"Population ages 45-49, female",
"Population ages 45-49, male",
"Population ages 60-64, female",
"Population ages 60-64, male",
"Population ages 65 and above, female",
"Population ages 65 and above, male",
"Population ages 65 and above, total",
"Population ages 65-69, female",
"Population ages 65-69, male",
"Population ages 70-74, female",
"Population ages 80 and above, female",
"Population ages 80 and above, male",
"Population, female",
"Population, male",
"Age population, age 00, female, interpolated",
"Age population, age 00, male, interpolated",
"Age population, age 01, female, interpolated",
"Age population, age 01, male, interpolated",
"Age population, age 02, male, interpolated",
"Age population, age 04, female, interpolated",
"Age population, age 04, male, interpolated",
"Age population, age 05, female, interpolated",
"Age population, age 05, male, interpolated",
"Age population, age 06, female, interpolated",
"Age population, age 06, male, interpolated",
"Age population, age 07, female, interpolated",
"Age population, age 07, male, interpolated",
"Age population, age 08, female, interpolated",
"Age population, age 09, male, interpolated",
"Age population, age 10, female, interpolated",
"Age population, age 10, male, interpolated",
"Age population, age 11, female, interpolated",
"Age population, age 11, male, interpolated",
"Age population, age 12, male, interpolated",
"Age population, age 13, male, interpolated",
"Age population, age 14, female, interpolated",
"Age population, age 14, male, interpolated",
"Age population, age 15, female, interpolated",
"Age population, age 15, male, interpolated",
"Age population, age 16, female, interpolated",
"Age population, age 16, male, interpolated",
"Age population, age 20, female, interpolated",
"Age population, age 21, female, interpolated",
"Age population, age 23, male, interpolated",
"Age population, age 24, male, interpolated",
"Age population, age 25, female, interpolated",
"Labor force, total",
"Population ages 15-64, male",
"Population ages 50-54, male",
"Population ages 55-59, female",
"Population ages 55-59, male",
"Population ages 75-79, female",
"Population ages 75-79, male",
Adults (ages 15-49) newly infected with HIV,
"Age population, age 02, female, interpolated",
"Age population, age 03, female, interpolated",
"Age population, age 03, male, interpolated",
"Age population, age 09, female, interpolated",
"Age population, age 12, female, interpolated",
Children (0-14) living with HIV,
Children (ages 0-14) newly infected with HIV,
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",
Number of deaths ages 20-24 years,
Number of maternal deaths,
Number of stillbirths,
Number of under-five deaths,
"Number of under-five deaths, male",
"Population ages 20-24, male",
"Population ages 50-54, female",
"Population ages 70-74, male",
Tuberculosis treatment success rate (% of new cases),1
"Age population, age 13, female, interpolated",
Lifetime risk of maternal death (1 in: rate varies by country),
Net migration,
Number of infant deaths,
Adults (ages 15+) living with HIV,
Malaria cases reported,1
Number of people who are undernourished,
Adults (ages 15+) and children (0-14 years) living with HIV,
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,
AIDS estimated deaths (UNAIDS estimates),
"Age population, age 08, male, interpolated",
Children orphaned by HIV/AIDS,
Number of deaths ages 15-19 years,
Young people (ages 15-24) newly infected with HIV,
Maternal leave benefits (% of wages paid in covered period),
Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,
Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,
Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,
Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,
Rural population,
Urban population,
"Population, total",
Rural population (% of total population),
Urban population (% of total population),
Total Number of Selected Indicators,43